poem_meta_info,x_data,allu_name,label
唐李白《古风》其三,徐市载秦女，楼船几时回。,徐市,九流部
唐徐夤《尚书荣拜恩命夤疾中辄课恶诗二首以申攀赞》之一,昴星人杰当王佐，黄石仙翁识帝师。,黄石仙翁,九流部
宋范成大《不寐》,彭尸不得去，罡骑无行色。,彭尸,九流部
唐顾云《华清词》,太上符箓龙蛇踪，散花天女侍香童。,散花天女,九流部
唐李商隐《无题》,闻道阊门尊绿华，昔年相望抵天涯。,萼绿华,九流部
唐胡曾《咏史诗·葛陂》,莫道神仙难顿学，嵇生自是不遭逢。,嵇生不遭逢,九流部
唐韦应物《鼋头山神女歌》,湘妃独立九疑暮，汉女菱歌春日长。,湘妃,九流部
清曹经沉《题仙山濯发图》,绀宇更幽艳，中有偎芋仙。,煨芋仙,九流部
宋杨亿《无题三首》之三,嫦娥桂独成幽恨，素女弦多有剩悲。,嫦娥,九流部
唐韩愈《石鼓歌》,孔子西行不到秦，椅摭星宿遗羲娥。,羲娥,九流部
唐皮日休《上真观》,天钧鸣响亮，天禄行蹒跚。,天钧,九流部
唐岑参《安西馆中思长安》,遥凭长房术，为缩地山东。,长房术,九流部
唐宋之问《送合宫苏明府颁》,翟回车少别，凫化舄遥驰。,凫化舄,九流部
宋陆游《道室杂咏》,舄化双凫鬼杖化龙，云山回首不知重。,杖化龙,九流部
唐杜甫《陪李七司马造江上观造竹桥》,合观却笑千年事，驱石何事到海东？,驱石,九流部
唐李商隐《喜雪》,有田皆种玉，无树不开花。,种玉,九流部
三国曹植《仙人篇》,不见轩辕氏，乘龙出鼎湖。,乘龙,九流部
唐赵嘏《代人赠别》,会须携手乘鸾去，萧史楼台在王京。,乘鸾,九流部
唐刘禹锡《浙西李大夫述梦四十韵并浙东元相公酬和斐然继声》,羽化如乘鲤，楼居旧冠鳖。,乘鲤,九流部
唐王勃《八仙径》,援萝窥雾术，攀林俯云烟。,雾术,九流部
唐宋之问《游禹穴回出若邪》,归舟何虑晚，旦暮使樵风。,樵风,九流部
唐施肩吾《清夜忆仙官子》,三清官里月如昼，十二宫楼何处眠。,十二宫楼,九流部
唐许浑《长安岁暮》,三山岁岁有人去，唯恐海风生自波。,三山,九流部
唐罗隐（广陵开元寺阁上作》,云中鸡犬刘安过，月里留歌扬帝归。,云中鸡犬,九流部
唐李益《华阴东泉同张处土诸藏律师兼简县内同官因寄齐中书》,故人邑中吏，五里仙雾隔。,五里仙雾,九流部
一宋苏轼《与叶淳老侯敦夫张秉道同相视新河秉道有诗次韵二首》之一,一庵闭卧洞霄宫，井有丹砂水长赤。,井有丹砂,九流部
宋陆游《睡觉作》之一,世言黄帝华胥境，千古蓁荒孰再游。,华胥境,九流部
宋苏拭《安期生》,海上如瓜枣，可闻不可逢。,如瓜枣,九流部
唐王昌龄《奉赠张荆州》,王君飞舄仍未去，苏耽宅中意遥缄。,苏耽宅,九流部
金元好问《九日读书山用陶诗韵赋十首》之一,大似丁令威，归来叹墟墓。,丁令威,九流部
唐卢照邻《山林休日田家》,耕田虞讼寝，凿井汉机忘。,汉机,人事部
宋黄庭坚《次韵子瞻与尧舒文祷雪雾猪泉唱和》,林回投璧负婴儿，岂闻烹儿翁不哭。,投璧负婴儿,人事部
唐李商隐《赠田叟》,鸥鸟忘机翻浃洽，交亲得路昧平生。,忘机,人事部
清袁枚《落花》之八,茵溷无心随上下，尹邢避面各西东。,茵溷,人事部
唐戴叔伦《湘中怀古》,倏忽桑田变，谗言亦已空。,桑田变,人事部
唐元稹《哭子十首》之一,维鹈受刺因吾过，得马生灾念尔冤。,得马,人事部
唐刘长卿《避地江东留别淮南使院诸公》,何辞向物开秦镜，却使他人得楚弓。,得楚弓,人事部
唐杜甫《临邑舍弟书至苦雨黄河泛溢堤防之患簿领所忧因寄此诗用宽其意》,吾衰同泛梗，利涉想蟠桃。,漂梗,人事部
唐卢照邻《长安古意》,挟弹飞鹰杜陵北，探丸借客渭桥西。,探丸借客,人事部
唐李白《结袜子》,燕南壮士吴门豪，筑中置铅鱼隐刀。,筑中置铅,人事部
唐元稹《寄乐天二首》之一,唯应鲍叔犹怜我，自保曾参不杀人。,曾参杀人,人事部
唐李群玉《献王中丞》,张仪会展平生舌，韩信那惭跨下羞。,跨下羞,人事部
唐李商隐《少年》,灞陵夜猎随田窦，不识寒郊自转蓬。,灞陵夜猎,人事部
唐杜甫《将赴荆南寄别李荆州》,但见文翁能化俗，焉知李广未封侯。,未封侯,人事部
宋陆游《病后衰甚非篮舆不能出门感叹有赋》,寂寂岂惟惭邓禹，厌厌更觉类曹蜍。,惭邓禹,人事部
唐卢照邻《西使兼送孟学士南游》,零雨悲王粲，清尊别孔融。,悲王粲,人事部
宋苏轼《捕蝗至浮云岭山行疲苶有怀子由弟》之一,无人可诉乌衔肉，忆弟难凭犬附书。,乌衔肉,人事部
唐李商隐《咏怀寄秘阁旧僚二十六韵》,乘轩宁见宠，巢幕更逢危。,巢幕,人事部
清舒位《得仲瞿山中诗却寄》之二,草书最爱匆匆不，怪事无端咄咄才。,怪事咄咄,人事部
唐杜甫《骊山卜》,鼎湖龙去远，银海雁飞深。,鼎湖龙去,人事部
宋陆游《生日子聿作五字诗十首为寿追怀先亲泫然有作》,负米养亲无复日，蓼莪废讲岂胜悲。,蓼莪废,人事部
南朝梁何逊《见征人分别》,且当横行去，谁论裹尸人。,裹尸,人事部
唐陈子昂《同宋参军之问梦赵六赠卢陈二子之作》,人琴遂两亡，白云失处所。,人琴两亡,人事部
唐陈存《楚州赠别周愿侍御》,淮南木叶飞，夜间广陵散。,广陵散,人事部
唐李群玉《经费拾遗所居呈封员外》,云卧竟不起，少微空陨光。,少微空陨光,人事部
金元好问《哭曹征君子玉二首》之二,斗酒只鸡孤旧约，素车白马属何人。,斗酒只鸡,人事部
宋杨万里《四十九祖母朱氏挽词》,眼底生刍奠，身前泛柏舟。,生刍奠,人事部
宋王安石《葛郎中挽词》,白马有悲送，赤车非古行。,白马送,人事部
唐李商隐《过姚孝子庐偶书》,鱼因感姜出，鹤为吊陶来。,吊陶,人事部
唐李白《东海有勇妇》,梁山感杞妻，恸哭为之倾。,杞妻恸哭,人事部
清王士禛《望剑州怀乔文衣》,太息青蝇吊，交州几岁还？,青蝇吊,人事部
宋欧阳修《吊黄学士三首》之三,空嗟埋玉树，斋志永沉沉。,埋玉树,人事部
清赵翼《李雨村挽诗》,万里难为徐稚吊，一编重检蜀州诗。,徐稚吊,人事部
唐罗虬《比红儿诗》之十五,因事爱思苟奉倩，一生闲坐枉伤神。,爱思荀奉倩,人事部
宋苏轼《岐亭》之四,人生几两屐，莫厌频来集。,几两屐,人事部
唐刘长卿《听笛歌》,旧游怜我长沙谪，载酒沙头送迁客。,长沙谪,人事部
唐杜甫《哀诗》,范晔顾其儿，李斯忆黄犬。,忆黄犬,人事部
唐张谓《同孙构免官后登蓟楼》,去年大将军，忽负乐生谤。,乐生谤,人事部
宋陆游《丰年行》,书生识字亦聊尔，莫作扬雄老投阁。,扬雄投阁,人事部
唐白居易《送兄弟回雪夜》,灰死如我心，雪白如我发。,灰死,人事部
唐元稹《去杭州》,得得为题罗刹石，古来非独伍员冤。,伍员冤,人事部
宋刘筠《鹤》,碧树阴浓釦砌平，华亭归梦晓频惊。,华亭归梦,人事部
唐李频《下第后屏居书怀寄张侍御》,刖足岂一生，良工隔千里。,刖足,人事部
明李梦阳《七夕边马二宪使许过繁台别业不成辄用七句述我志怀二十韵》,末俗但知张市虎，弃时谁切辨衣蜂。,衣蜂,人事部
唐雍陶《蜀中战后感事》,岁积苌弘怨，春深杜宇哀。,苌弘怨,人事部
唐白居易《琵琶行》,其间旦暮闻何物，杜鹃啼血猿哀鸣。,杜鹃啼血,人事部
唐刘禹锡《武陵观火》,晋库走龙剑，吴官伤燕雏。,吴宫伤燕,人事部
唐骆宾王《畴昔篇》,冶长非罪曾缧绁，长孺然灰也经溺。,冶长非罪,人事部
元朱旭《杂诗》之二,长身素米侏儒饱，飞将无功妄尉侯。,侏儒饱,人事部
清赵翼《淮阴钓台》,与哙伍怜鱼服困，假齐王伏狗烹灾。,鱼服困,人事部
宋洪炎《庚戌岁六月四日至洪城怅然伤怀》,人言城门火，鱼祸自靡遗。,鱼祸,人事部
唐李贺《箜篌引》,屈平沉沙不足慕，徐衍入海诚为愚。,屈平沉湘,人事部
唐白居易《得微之到官后书备知通州之事怅然有感因成四章》之四,剑埋狱底谁深掘，松偃霜中尽冷看。,剑埋狱底,人事部
东汉王盛《咏史》,秦穆杀三良，惜哉空尔为。,秦穆杀三良,人事部
唐刘长卿《按履后归睦州赠苗待御》,直氏偷金柱，于家决狱明。,偷金柱,人事部
唐杜甫《梁狱》,梁狱书应上，秦台镜欲临。,梁狱,人事部
唐李白《答三十二寒夜独酌有怀》,曾参岂是杀人者，谗言三及慈母惊。,谗言三及,人事部
唐杜牧《新转南曹……书此篇以自见志》,宋株聊自守，鲁酒怕旁围。,鲁酒旁围,人事部
金元好问《甲午除夜》,暗中人事忽推迁，坐守寒灰望复燃。,寒灰复燃,人事部
宋黄庭坚《四月戊申赋盐万岁山》,濡需且肉食，毅棘恐钟衅。,觳觫钟衅,人事部
唐骆宾二《畴昔篇》,邹衍衔悲系燕狱，李斯抱怨拘秦桎。,燕狱,人事部
唐白居易《得微之到官后书因成四章》之三,侏儒饱笑东方朔，薏苡谗忧马伏波。,薏苡谗,人事部
唐顾非熊《冬日寄蔡先辈校书京》,惟君知我苦，何异爨桐鸣。,爨桐鸣,人事部
清康有为《故四品卿衔军机章京参预新政候补知府谭君嗣同》,竟无三字狱，遂以诛董承。,三字狱,人事部
请钱谦益《吴门送福清公还闽》,恩牛怨李谁家事，白马清流异代悲。,白马清流,人事部
唐白居易《放言五首》之三,周公恐惧流言日，王莽谦恭未篡时。,周公惧流言,人事部
唐韩偓《故都》,掩鼻计成终不觉，冯驩无路教鸣鸡。,掩鼻计,人事部
唐李商隐《赠送前刘五经映三十四韵》,屋壁余无几，焚阬逮可伤。,焚阬,人事部
清赵翼《土城怀古》之二,不闻官掖悲人彘，肯使兵尘丧帝羓。,悲人彘,人事部
南朝梁何逊《扬州法曹梅花盛开》,朝洒长门泣，夕驻临邛杯。,长门泣,人事部
唐李绅《新楼诗二十首·城上蔷薇》,风月寂寥思往事，暮春空赋白头吟。,空赋白头吟,人事部
宋黄庭坚《次韵奉送公定》,尘埃百年琴，绝弦为钟期。,绝弦,人事部
唐窦牟《元日喜闻大礼寄上翰林四学士中书六舍人二十韵》,忽思班女怨，遥听越人吟。,班女怨,人事部
明张煌言《羁恨二首》之二,暂将吞炭恨，并作茹荼怜。,吞炭,人事部
清朱彝尊《彭城道中咏古二首》之二,博浪飞椎后，圯桥进履车。,博浪飞椎,人事部
唐杜甫《寄岳州贾六支巴州严八使君两阁老》,浪作禽填海，那将血射天。,禽填海,人事部
唐李白《酬裴侍御对而感时见赠》,鞭尸辱已及，堂卜罗宿莽。,鞭尸,人事部
唐李益《从军夜次六胡北饮马磨剑石为祝殇辞》,毕昴不见胡天阴，东征曾吊长平苦。,长平苦,人事部
唐姚鹊《及第后上主司王起》,登龙旧美无邪径，折桂新荣尽直枝。,折桂新荣,人事部
宋杨亿《受诏修书述怀感事三十韵》,矫矫龟衔印，翩翩隼画施。,龟衔印,人事部
宋陆游《累日文符沓至怅然有感》,封侯万里独心在，糊口四方何事无。,封侯万里,人事部
宋黄庭坚《题落星寺》之一,蜜房各自开户牖，蚁穴或梦封侯王。,梦封侯,人事部
宋黄庭坚《次韵答张沙河》,使公系腰印如斗，驷马高益驱骏骏。,腰印如斗,人事部
宋林逋《喜侄宥及第》,闻喜宴游秋色雅，慈恩题记墨行清。,慈恩题记,人事部
唐杜甫《投赠哥舒开府翰二十韵》,壮节初题柱，生涯独转蓬。,题柱,人事部
唐王昌龄《留别岑参兄弟》,貂蝉七叶贵，鸿鸽万里游。,七叶贵,人事部
宋苏轼《和孙志举》,邓通岂不富，郭解安得贫？,邓通富,人事部
明李东阳《送开州陈同知》,贫怜范叔惟尘甑，贵识王祥有佩刀。,有佩刀,人事部
宋苏轼《宿州次韵刘泾》,晚觉文章真小技，早知富贵有危机。,危机,人事部
宋刘兼《宣赐锦袍设上赠诸郡客》,深冬苦得朝丹阙，太华峰前衣锦归。,衣锦归,人事部
唐杜牧《华清宫三十韵》,雨露偏金穴，乾坤人梦乡。,金穴,人事部
宋苏轼《送安惇秀才失解西归》,他年名宦恐不免，今日栖迟那可追。,恐不免,人事部
唐高适《真定即事奉赠韦使君二十八韵》,田园同季子，储蓄异陶朱。,陶朱,人事部
唐元稹《代曲江老人百韵》,万钱才下箸，五酘未称醇。,万钱,人事部
唐柳宗元《同刘二十八院长述旧言怀感时书事奉寄澧州张员外使君五十二韵之作因其韵增至八十通赠二君子》,肯随胡质矫，方恶马融奢。,马融奢,人事部
唐刘禹锡《崔元受少府自贬所还遗造山姜花以诗答之》,王济本尚味，石崇方斗奢。,斗奢,人事部
唐刘言史《苦妇词》,兰裙间珠履，食五处花筵。,珠履,人事部
唐杜牧《长安杂题长句六首》之二,韩嫣金丸莎覆绿，许公鞯汗杏黏红。,韩嫣金丸,人事部
唐宗楚客《安乐公主移入新宅待宴应制》,马向铺钱埒，箫闻弄玉台。,铺钱埒,人事部
清吴伟业《过朱买臣墓》,行年五十功名晚，何似空山长负薪。,五十功名,人事部
唐吴筠《步虚词》其七,绵绵庆不极，谁谓椿龄多。,椿龄,人事部
清赵翼《己巳元旦》,添筹且喜增年岁，鼓击惟当乐夕晨。,添筹,人事部
唐杜甫《送顾八分文学适洪吉州》,才尽伤形体，病渴污官位。,才尽,人事部
宋苏轼《次前韵送程六表弟》,青衫莫厌百僚底，白首上有千薪积。,千薪积,人事部
宋陈与义《书怀示友十首》之九,开窗逢一笑，未觉徐娘老。,徐娘老,人事部
唐白居易《不准拟二首》之二,多于贾谊长沙苦，小校潘安白发生。,潘安白发生,人事部
唐姚合《赠卢大夫将军》,上山嫌髀重，拔剑叹衣生。,髀重,人事部
唐释贯休《大兴三教》,击壤翁知否，吾皇即帝尧。,击壤翁,人事部
唐张说《赠崔公》,我闻西汉日，四老南山幽。,四老,人事部
宋苏轼《次天字韵答岑岩起》,莫叹郎潜生白发，圣朝求旧鄙鸢肩。,白发郎潜,人事部
唐姚合《春日早朝寄刘起居》,莫笑冯唐老，还来谒圣君。,冯唐老,人事部
唐刘禹锡《重寄表臣二首》之二,早晚同归洛阳陌，卜邻须近祝鸡翁。,祝鸡翁,人事部
宋陆游《野兴》之二,宁甘结袜系，不作拜车尘。,结袜,人事部
唐李白《鞠歌行》,朝歌鼓刀叟，虎变皤溪中。,鼓刀叟,人事部
宋陆游《雪夕》,东郭稍能师顺子，北山未敢笑愚公。,愚公,人事部
清顾炎武《郝将军今为医客于吴之卜津桥言及旧事感而有赠》,人楚廉颇犹未老，过秦扁鹊更能工。,廉颇,人事部
唐温庭筠《渭上题三首》之三,所嗟白首皤溪叟，一下渔舟更不归。,磻溪叟,人事部
宋陆游《吾年过八十》诗之二,斧斤遗寿栎，云海寄冥鸿。,寿栎,人事部
金元好问《光武台》,空余广武叹，无复云台功。,广武叹,人事部
明陈子龙《奉酬越大夫卓凡见赠之作》,去病无家原为国，信陵有客尽知兵。,去病无家,人事部
明李东阳《储都宪净夫在南曹时尝取鹤鸣诗义名其园曰檀园……》,窥园董子心仍在，扫室陈蕃志且偿。,扫室陈蕃,人事部
清赵翼《季女出嫁》,恰了向平愿，应偿五岳缘。,向平愿,人事部
唐李隆基《巡省途次上党旧宫赋》,长怀问鼎气，夙负拔山雄。,问鼎气,人事部
唐孟浩然《田园作》,冲天羡鸿鹄，争食羞鸡骛。,冲天,人事部
唐元稹《纪怀赠李六户曹崔二十功曹五十韵》,运甓调辛苦，闻鸡屡寝兴。,运甓,人事部
唐李咸用《物情》,李斯涵鼠心应动，庄叟泥龟意已坚。,李斯溷鼠,人事部
唐魏征《述怀》,中原初逐鹿，投笔事戎轩。,投笔,人事部
宋陆游《杂兴》,驶衰伏枥心千里，龟冷搘床寿百年。,龟冷搘床,人事部
金李俊民《即事》,谁能宰似陈平社，那免悲如宋玉秋？,陈平社,人事部
店王昌龄《从军行七首》之六,明敕星驰封宝剑，辞君一夜取楼兰。,取楼兰,人事部
唐曹邺《秦后作》,空持拔山志，欲夺天地德。,拔山志,人事部
唐李咸用《边城听角》,未遂终军志，何劳思故乡？,终军志,人事部
清赵翼《放歌》,少年鼻息冲云汉，唾手便思拾青紫。,拾青紫,人事部
唐杜甫《夔府书怀四十韵》,即事须尝胆，苍生可察眉。,尝胆,人事部
唐元镇《纪怀赠李六户曹崔二十功曹五十韵》,运甓调辛苦，闻鸡屡寝兴。,闻鸡兴,人事部
唐孟浩然《都下送辛大之鄂》,未逢调鼎用，徒有济川心。,济川心,人事部
宋苏轼《戏子由》,常时低头诵经史，忽然欠伸屋打头。',屋打头,人事部
唐高适《苦雪四首》之二,惠连发清兴，袁安念高卧。,袁安高卧,人事部
唐王维《哭祖六自虚》,不期先挂剑，长恐后施鞭。,恐后施鞭,人事部
清赵翼《赋得贤不家食》,酌泉逾表洁，宰肉故能公。,酌泉表洁,人事部
宋陆游《怀镜中故庐》,从宦只思乘下泽，忤人常悔读南华。,乘下泽,人事部
宋李洪《偶作》,乘风破浪非吾事，暂借僧窗永日眠。,乘风破浪,人事部
宋张咏《赠刘吉》,请料酒仙人，何如留侯志。,留侯志,人事部
唐白居易《元和十二年淮寇未平》,愚计忽思飞短檄，狂心便欲请长缨。,请长缨,人事部
宋陆游《杂感》之三,蹈海言犹在，移山志未衰。,移山志,人事部
清钱谦益《戊辰七月应召赴阙车中言怀》之二,长吟颇惜齐三士，抚卷谁知鲁二生。,鲁二生,人事部
宋陆游《秋夜》之一,身闲诗简淡，道胜梦轻安。,道胜,人事部
清归庄《和顾端木先生弃庵十咏》之五,登车壮志当无负，何事牢骚咏弃庵。,登车壮志,人事部
唐李贺《恼公》,古时填渤懈，今日凿崆峒。,填渤澥,人事部
金元好问《雪后招邻合王赞子襄饮》,卖刀买犊未厌早，腰金骑鹤非所望。,腰金骑鹤,人事部
宋陆游《十一月三日过升仙桥作》,纷纷满座谁能识，大似新丰独酌时。,新丰独酌,人事部
唐李世民《过旧宅二首》之二,八表文同轨，无劳歌大风。,歌大风,人事部
宋陆游《书志》,往年出都门，誓墓志已决。,誓墓志,人事部
唐李益《塞下曲》,伏波惟愿裹尸还，定远何须生入关。,裹尸还,人事部
清宋琬《题戴苍画陈阶六小象和王阮亭韵》,醇酒美人堪送老，唯君能学信陵君。,醇酒美人,人事部
唐许浑《寄湘中友人》,相如已定题桥志，江上无由梦钓台。,题桥志,人事部
晋阮籍《咏怀》之四十三,朝餐琅玕实，夕宿丹山际。,餐琅玕,人事部
宋唐庚《立冬后作》,咬蔗入佳境，冬来幽兴长。,入佳境,人事部
宋黄庭坚《次韵答尧民》,譬如闻韶耳，三月忘味叹。,三月忘味,人事部
唐韩愈《县斋有怀》,犹嫌子夏儒，肯学樊迟稼。,子夏儒,人事部
唐元稹《月三十韵》,荷锄元亮息，回棹子猷归。,子猷归,人事部
唐赵嘏《春酿》,马卿思一醉，不惜鹔鹴裘。,不惜鷫鸘裘,人事部
唐高适《古乐府飞龙曲留上陈左相》,公才山吏部，书癖杜荆州。,书癖,人事部
唐独孤及《同徐侍郎五云溪新庭重阳宴集作》,已符东山趣，况值江南秋。,东山趣,人事部
唐郑谷《兵部卢郎中光济借示诗集以四韵谢之》,叶公好尚浑疏阔，忽见真龙几丧明。,叶公好尚,人事部
宋王安石《次韵吴冲卿召赴资政殿听读诗义感事》,墙面岂能知奥义，延陵听赏自为聪。,延陵听赏,人事部
清方文《题画寄刘十二尔仁》,归去卧游何不可，送尔一幅李公麟。,卧游,人事部
清归庄《苦家居作》之四,安得良朋共披对，雄哉南面拥书城。,拥书城,人事部
唐徐弦《张先辈见寄二首》之二,两首新诗千里道，感君情分独知丘。,知丘,人事部
唐李隆基《巡省途次上党旧宫赋》,三千初击浪，九万欲抟空。,九万欲抟空,人事部
唐白居易《天可度》,君不见，李义府之辈笑欣欣，笑中有刀潜杀人。,笑中有刀,人事部
宋苏轼《与叶淳老侯敦夫张秉道同相视新河秉道有诗次韵二首》之一,怜君嗜好更迂阔，得我新诗喜折屐。,喜折屐,人事部
唐顾况《露青竹杖歌》,蜀帝城边子规咽，相如桥上文君绝。,子规咽,人事部
唐李白《君子有所思行》,无作牛山悲，恻怆泪沾臆。,牛山悲,人事部
宋钱惟演《宣曲二十二韵》,已障纨扇笑，犹捧玉壶悲。,玉壶悲,人事部
唐李贺《钓鱼》,詹子情无限，龙阳恨有余。,龙阳恨,人事部
唐温庭筠《病中书怀呈友人》,逸足皆先路，穷郊独向隅。,向隅,人事部
唐皮日休《卒妻怨》,处处鲁人髽，家家杞妇哀。,杞妇哀,人事部
唐胡曾《交河塞下曲》,塞北草生苏武泣，陇西云起李陵悲。,李陵悲,人事部
唐皎然《九月十日》,悠然南望意，自有岘山情。,岘山情,人事部
唐鲍溶《秋思三首》之二,燕歌易水悲，剑舞蛟龙腥。,易水悲,人事部
唐杜甫《春日江村五首》之五,群盗哀王粲，中年召贾生。,哀王粲,人事部
唐郑谷《为人题》,泪湿孤鸾晓镜昏，近来方解惜青春。,孤鸾,人事部
唐李商隐《赠送前刘五经映三十四韵》,海鸟悲钟鼓，狙公畏服裳。,海鸟悲,人事部
宋苏轼《雨中过舒教授》,飞鸢悔前笑，黄犬悲晚悟。,黄犬悲,人事部
唐李白《古风五十九首》之五十九,恻侧泣路歧，哀哀悲素丝。,悲素丝,人事部
