allu_name,x_data,label
博簺,《庄子·骄拇》：“臧与毂二人相与牧羊，而俱亡其羊。问臧奚事，则挟箧读书；问毂奚事，则博塞（一种赌博方法）以游。二人者事业不同，其于亡羊均也。”塞，也作簺。,九流部#人事部
棋局消夏,唐张固《幽闲鼓吹》：“宣宗坐朝，次对官趋至，必待气息平均，然后问事。令狐绹进李远为杭州，上曰：我闻李远诗云：“长日唯消一局棋。岂可以临郡哉？对曰：诗人之言，不足有实也。仍荐廉察可任，乃许之。”,九流部
女娲,《淮南子·览冥训》：“往古之时，四极废，九洲裂，天不兼覆，地不周载，火[火监]炎而不灭，水浩洋而不息，猛兽食颛民，鸷鸟攫老弱。于是女蜗炼五色石以补苍天，断鳌足以立四极，杀黑龙以济冀州，积芦灰以止淫水。苍天补，四极正，淫水涸，冀州平，狡虫死，颛民生。”,动物部#九流部#天文部
方瞳人,晋王嘉《拾遗记》卷三：“老聃在周之末，居反景日室之山，与世人绝迹。惟有黄发老叟五人，或乘鸿鹤，或衣羽毛，耳出于顶，瞳子皆方，面色玉洁，手握青筠之杖，与聃共谈天地之数。”,九流部#人体部
冯夷,《楚辞·远游》：“使湘灵鼓瑟兮，令海若舞冯夷。”王逸注：“冯夷，水仙人，《淮南》言：冯夷得道以潜于大川也。”,九流部
投壶玉女,汉东方朔《神异经·东荒经》：“东荒山中有大石室，东王公居焉……恒与一玉女投壶，每投千二百矫。设有入不出者，天为之唏嘘。矫出而脱误不接者，天为之笑。”晋张华注：“言笑者，天口流火炤灼。今天不下雨而有电光，是天笑也。”,九流部#政事部#器用部#天文部
青牛真气,《史记·老子韩非列传》：“（老子）居周久之，见周之衰，乃遂去。至关，关令尹喜曰：子将隐矣，强为我著书。于是老子乃著书上下篇，言道德之意五千余言而声，莫知所终。”司马贞《索隐》引《列仙传》：“老子西游，关今尹喜望见有紫气浮关，而老子果乘青牛而过也。”,九流部
金华牧羊儿,晋葛洪《神仙传·黄初平》：“黄初平者，丹溪人也。年十五，家使牧羊。有道士见其有良谨，便将至金华山石室中，四十余年，不复念家。其兄初起，行山寻索初平，历年不得。后见市中有一道士，初起召问之曰：吾有弟名初平，因今牧羊，失之四十余年，莫知生死所在，愿道君为占之。道士曰：金华山中，有一牧羊儿姓黄，字初平，是卿弟非疑。初起闻之，即随道士去求弟，遂得相见，悲喜语毕，问初平羊何在，曰：近在山东耳。初起往视之不见，但见白石而还。谓初平口。山东无羊也。初平曰：羊在耳况但自不见之。初平与初起俱往看之，初平乃叱曰：羊起！于是白石皆变为羊数万头。”,动物部#九流部#地理部
洛川神,《文选·洛神赋》李善注：“《记》曰：魏东阿王，汉末求甄逸女，既不遂。太祖回与五官中郎将。（曹）植殊不平，昼思夜想，废寝与食。黄初中人朝，帝示植甄后王楼金带枕，植见之，不觉泣。时已为郭后谗死。帝意亦寻悟，因令太子留宴饮，仍以枕赉植。植还，度轘辕，少许时，将息洛水上，思甄后。忽见女来，自云：我本托心君王，其心不遂。此枕是我在家时从嫁前与五官中郎将，今与君王。遂用荐枕席，欢情交集，岂常辞能具。……言讫，遂不复见所在。遣人献珠于王，王答以玉佩，悲喜不能自胜，遂作《感甄赋》。后明帝见之，改为《洛神赋》。”,九流部#人物部#人事部
素女,唐李峤《瑟》：“伏盖初制法、素女昔传名”《史记·封禅书》：“太帝使素大鼓五十弦瑟，悲，帝禁不止，故破其瑟为二十五弦。”#唐李桥《瑟》：“伏盖初制法、素女昔传名”《史记·封禅书》：“太帝使素大鼓五十弦瑟，悲，帝禁不止，故破其瑟为二十五弦。”,九流部#文明部#人事部
壶公,《后汉书·方术列传·费长房传》：“费长房者，汝南人也。曾为市掾。市中有老翁卖药，悬一壶于肆头，及市累，辄跳入壶中。市人莫之见，唯长房于楼上睹之，异焉，因往再拜奉酒脯。翁知长房之意其神也。谓之曰：子可明日来。长房旦日复诣翁，翁乃与俱人壶中。唯见玉堂严丽，旨酒有肴盈衍其中，共饮毕而出。”,九流部#天文部
徐市,《史记·秦始皇本纪》：“齐人徐市等上书言海中有三神山，名曰蓬莱、方丈、流洲，仙人居之。请得斋戒，与童男女求之。于是遣徐市发童男女数千人，人海求仙人。”,九流部#地理部#人事部
萼绿华,南朝梁陶弘景《真浩》卷一《运象》：“尊绿华者，自云是南山人，不知是何山也。女子年可二十上下，青衣，颜色绝整。以升平三年十一月十日夜降羊权家，自此往来，一月辄六过耳。云本姓杨，赠权诗一篇，并致火浣布巾一枚，金玉条脱各一枚。条脱似指环而大，异常精好。神女语权。君慎勿泄我，泄我则彼此获罪。访问此人，云是九嶷山中得道女罗郁也，宿命时曾为师母毒杀乳妇，玄洲以先罪未灭，故令降滴于臭浊，以偿其过。与权尸解药。今在湘东山，此女已九百岁矣。”,九流部
嵇生不遭逢,《晋书·嵇康传》：“（嵇）康又遇王烈，共入山。烈尝得石髓如饴，即乍服半，余半与康，皆凝而为石。又于石室中见一卷素书，遽呼康往取，辄不复见。烈乃叹曰：叔夜志趣非常，而辄不遇，命也。”,九流部#地理部
嫦娥,《淮南子·览冥训》：“羿请不死之药于西王母，姮娥窃以奔月。”,九流部#人物部#天文部
长房术,《神仙传·壶公》：“费长房有神术，能缩地脉，千里存在目前宛然，放之复舒如旧也。”,九流部#地理部
驱石,《艺文类聚》卷七九引《三齐略记》：“（秦）始皇作石桥，欲过海观日出处。于时有神人，能驱石下海，城阳一山石，尽起立，嶷嶷东倾．状似相随而去。云石去不速，神人辄鞭之，尽流血。石莫不悉赤，至今犹尔。”,九流部#地理部#人物部
种玉,晋干宝《搜神记》卷十一：“杨公伯雍，洛阳县人也。……父母亡，葬无终山，遂家焉。山高八十里，上无水，公汲水，作义浆于阪头，行者皆饮之。三年，有一人就饮，以一斗石子与之，使至高平好地有石处种之，云：玉当生其中。杨公未娶，又语云：汝后当得好妇。语毕不见。乃种其石。数岁，时时往视，见玉子生石上。人莫知也。有徐氏者，右北平著姓，女甚有行，时人求，多不许。公乃试求徐氏。徐氏笑以为狂，因戏云：得白壁一双来，当听为婚。公至所种玉田中，得白壁五双，以聘。徐氏大惊，遂以女妻公。”#唐卢纶《送王尊师》：“种玉非求捻，烧金不为贫。”晋干宝《搜神记》卷十一：“杨公伯雍，洛阳县人也。……父母亡，葬无终山，遂家焉。山高八十里，卜无水，公汲水，作义浆于阪头，行者皆饮之。三年，有一人就饮，以一斗石子与之，使至高平好地有石处种之，云：玉当生其中。杨公未娶，又语云：汝后当得好妇。语毕不见。乃种其石。数岁，时时往视，见玉子生石上。人莫知也。有徐氏者，右北平著姓，女甚有行，时人求，多不许。公乃试求徐氏。徐氏笑以为狂，因戏云：得白壁一双来，当听为婚。公至所种玉田中，得白壁五双，以聘。徐氏大惊，遂以女妻公。”,九流部#地理部#天文部
乘龙,《史记·封禅书》：“黄帝采首山铜，铸鼎于荆山下。鼎既成，有龙垂胡髯下迎黄帝。黄帝上骑，群臣后宫从上者七十余人，龙乃上去。余小臣不得上，乃悉持龙髯，龙髯拔，堕，堕黄帝之弓。百姓仰望黄帝既上天，乃抱其弓与胡髯号，故后世因名其处日鼎湖，其弓曰乌号。”,动物部#人物部#武备部#九流部#人事部#地理部
乘鲤,汉刘向《列仙传》卷上：“琴高者。赵人也。以鼓琴为宋康王舍人，行涓彭之术，浮游冀州琢郡之间二百余年。后辞入琢水中取龙子，与诸弟子期曰：皆洁斋待于水傍，设祠。果乘赤鲤来出坐祠中，旦有万人观之，留一月余，复入水去。”,动物部#九流部
十二宫楼,《史记·封掸书》：“方士有言黄帝时为五城十二楼，以候神人于执期，命曰迎年。”《汉书·郊祀志下》：“黄帝时为五城十二楼。”应邵注：“昆仑玄圃五城十二楼，仙人之所常居。”,九流部#器用部
云中鸡犬,汉王充《论衡·道虚》：“儒书言：淮南王学道，招会天下有道之人，倾一国之尊，下道术之土。是以道术之士，井会淮南，奇方异术，莫不争出。王遂得道，举家升天，畜产皆仙，犬吠于天上，鸡鸣于云中。此言仙药有余，犬鸡食之，并随王而升天也。”,动物部#九流部#人事部
汉机,《庄子·天地》：“子贡南游于楚，反于晋。过汉阴，见一丈人，方将为圃畦，凿隧而入井，抱瓮而出灌，搰搰然。用力甚多，而见功寡。子贡曰：有械于此，一日浸百畦，用力甚寡而见功多，夫子不欲乎？为圃者卬而视之曰：奈何？曰：凿木为机，后重前轻，挚水若抽，数如泆汤，其名为槔。为圃者忿然作色而笑曰：吾闻之吾师，有机械者，必有机事，有机事者必有机心，机心存于胸中，则纯白不备，纯白不备则神生不定，神生不定者，道之所不载也。吾非不知，羞而不为也。”,器用部#人事部
投璧负婴儿,《庄子·山木》：“子桑雽曰：子独不闻假人之亡与？林回弃千金之璧，负赤子而趋。或曰：“为其布与？赤子之布寡矣；为其累与？赤子之累多矣；弃千金之璧，负赤子而趋，何也？林回曰：“彼以利合，此以天属也。”夫以利合者，迫穷祸患害相弃也；以天属者，迫穷祸患害相收也。”,器用部#人事部
忘机,《列子·黄帝》：“海上之人有好沤鸟者，每旦之海上从沤鸟游，沤鸟之至者百往而不止。其父曰：吾闻沤鸟皆从汝游，汝取来，吾玩之。明日之海上，沤鸟舞而不下也。”,动物部#伦类部#人事部
茵溷,《南史·范缜传》：“子良问曰：君不信因果，何得富贵贫贱？缜答曰：人生如树花同发，随风而堕，自有拂帘幌坠于茵席之上，自有关篱墙落于粪溷之中。坠茵席者，殿下是也；落粪溷者，下官是也。贵贱虽复殊途，因果竟在何处？”,植物部#器用部#人事部
得马,《淮南子·人间训》：“近塞上之人，有善术者，马无故亡而入胡。人皆吊之。其父曰：此何遽不为福乎？居数月，其马将胡骏马而归。人皆贺之。其父曰：此何遽不为祸乎？家富良马，其子好骑，堕而折其髀。人皆吊之。其父曰：此何遽不为福乎？居一年，胡人大入塞，丁壮者引弦而战，近塞之人，死者十九。此独以跛之故，父子相保。故福之为祸，祸之为福，化不可极，深不可测也。”,动物部#人物部#人事部
探丸借客,《汉书·尹赏传》：“长安中奸滑浸多，闾里少年群辈杀吏，受赇报仇，相与探丸为弹，得赤丸者斫武吏，得黑丸者斫文吏，白者主治丧。”,人事部
跨下羞,《史记·淮阴侯列传》：“淮阴屠中少年有侮（韩）信者，曰：若虽长大，好带刀剑，中情怯耳。众辱之曰：信能死，刺我；不能死，出我袴下。于是信孰视之，俯出袴下，蒲伏。一市人皆笑信，以为怯。”“袴”，或作“胯”或“跨”。,人体部#人事部
灞陵夜猎,《史记·李将军列传》：李广被贬为庶人，“家居数岁。广家与故颍阴侯孙屏野居蓝田南山中射猎。尝夜从一骑出，从人田间饮。还至霸陵亭，霸陵尉醉，呵止广。广骑曰：故李将军。尉曰：今将军尚不得夜行，何乃故也！止广宿亭下。”,人物部#人事部
惭邓禹,《南齐书·王融传》：“（王）融自恃入地，三十内望为公辅。直中书省，夜叹曰：邓禹笑人。行逢大艇（左舟右行）开，喧湫不得进。又叹曰：车前无八驺卒，何得称为丈夫！”按东汉邓禹二十四岁封酂侯，王融则对自己三十而做中书郎不满。,人事部
乌衔肉,《汉书·黄霸传》：“尝欲有所司察，择长年廉吏遣行，属令周密。吏出，不敢舍邮亭，食于道旁，乌攫其肉。民有欲诣府口言事者适见之，（黄）霸与语道此。后日吏还谒霸，霸见迎劳之，曰：甚苦，食于道旁乃为乌所盗肉。吏大惊，以霸具知其起居，所问毫毫不敢有所隐。”,动物部#人事部
巢幕,《左传·襄公二十九年》：吴公子札出使各国，“自卫如晋，将宿于戚。闻钟声焉，曰：异哉！吾闻之也：“辩而不德，必加于戮。”夫子获罪于君以在此，惧犹不足，而又何乐？夫子之在此也，犹燕之巢于幕上。君又在殡，而可以乐乎？”,动物部#器用部#人事部
蓼莪废,《晋书·王裒传》：“（王）裒少立操尚，行己以礼，身长八尺四寸，容貌绝异，音声清亮，辞气雅正，博学多能，痛父非命，未尝西向而坐，示不臣朝廷也。于是隐居教授，三征七辟皆不就。庐于墓侧，旦夕堂至墓所拜跪，攀柏悲号，涕泪著树，树为之枯。母性畏雷，母没，每雷，辄到墓曰：裒在此。及读《诗》至哀哀父母，生我劬劳，未尝不三复流涕，门人受业者并废《蓼莪》之篇。”,文明部#人事部
人琴两亡,《世说新语·伤逝》：“王子猷（微之）、子敬（献之）俱病笃，而子敬先亡。子猷问左右：何以都不闻消息？此已丧矣。语时了不悲，便索舆来奔丧，都不哭。子敬素好琴，便径入坐灵床上，取子敬琴弹，弦既不调，掷地云：子敬子敬，人琴俱亡！因恸绝良久，月余亦卒。”,伦类部#文明部#人事部
广陵散,《世说新语·雅量》：“稀中散临刑东市，神气不变。索琴弹之，奏《广陵散》。曲终曰：袁孝尼尝请学此散，吾靳固不与，《广陵散》于今绝矣！”,人物部#人事部
少微空陨光,南朝宋檀道鸾《续晋阳秋》：“谢敷隐居会稽山。初，月犯少微星，一名处土星，时戴逵名重于敷，时人忧之。俄而敷死，故会稽士人嘲吴人云：吴中高士，求死不得。”,人事部
斗酒只鸡,《后汉书·桥玄传》：“初，曹操微时，人莫知者。尝往候玄，玄见而异焉，谓曰：今天下将乱，安生民者其在君乎！操常感其知己。及后经过玄墓，辄凄怆致祭。自为其文曰：故太尉桥公，懿德高轨，泛爱博容。……又承从容约誓之言：“徂没之后，路有径由，不以斗酒只鸡过相沃酹，车过三步，腹痛勿怨。”虽临时戏笑之言，非至亲之笃好，胡肯为此辞哉？怀旧惟顾，念之凄怆。奉命东征。屯次乡里，北望贵土，乃心陵墓。裁致薄奠，公其享之！”,人体部#人事部#器用部#伦类部
生刍奠,《后汉书·徐稚传》：“（郭）林宗有母忧，（徐）稚往吊之，置生刍一束于庐前而去。众怪，不知其故。林宗曰：此必南州高士徐孺子也。《诗》不云乎，“生刍一束，其人如玉。”吾无德以堪之”,植物部#人事部
吊陶,《世说新语·贤媛》引《陶侃别传》：“及侃丁母忧，在墓下，忽有二客来吊，不哭而退，仪服鲜异，知非常人。遣随视之，但见双鹤冲天而去。”,动物部#人事部
青蝇吊,《三国志·吴志·虞翻传》裴松之注引《翻别传》：“（虞）翻放弃南方，云：自恨疏节，骨体不媚，犯上获罪，当长没海隅，生无可与语，死以青蝇为吊客，使天下一人知己者，足以不恨。”,动物部#人事部
埋玉树,#《世说新语·伤逝》：“庾文康亡，何扬州临葬云：埋玉树著土中，使人情何能已已！”,人事部
爱思荀奉倩,#《世说新语·惑溺》：“荀奉倩与妇至笃。冬月妇病热，乃出中庭自取冷，还以身熨之。妇亡，奉倩后少时亦卒。”,人事部
长沙谪,《史记·贾生列传》：“于是天子议以为贾生（谊）任公卿之位。绛、灌、东阳侯、冯敬之属尽害之，乃短贾生曰：雒（洛）阳之人，年少初学，专欲擅权，纷乱诸事。于是天子后亦疏之，不用其议，乃以贾生为长沙王太傅。”,人物部#人事部
扬雄投阁,《汉书·扬雄传》：“汉（王）莽既以符命自立……诛（甄）丰父子，投（刘）棻四裔，辞所连及，便收不请。时雄校书天禄阁上，治狱使者来，欲收雄，雄恐不能自免，乃从阁上自投下，几死。……请问其故，乃刘棻尝从雄学作奇字，雄不知情。有诏勿问。然京师为之语曰：惟寂寞，自投阁；爱清静，作符命。”,器用部#人事部
灰死,《史记．韩长孺列传》：“蒙狱吏田甲辱安国，安国曰：死灰独不复然乎？”,地理部#人事部
冶长非罪,《论语·公冶长》：“（公冶长）虽在缧绁之中，非其罪也。”邢昺疏：“旧说冶长解禽语，故系之缧绁。”,人事部
侏儒饱,《汉书·东方朔传》：“（东方）朔文辞不逊，高自称誉，上伟之，令待诏公车，奉禄薄，未得省见。久之，朔绐驺朱儒……朱儒大恐，啼泣。朔教曰：上即过，叩头请罪。居有顷，闻上过，朱儒皆号泣顿首。上问：何为？对曰：东方朔言上欲尽诛臣等。上知朔多端，召问朔：何恐朱儒为？对曰：臣朔生亦言，死亦言。朱儒长三尺余，奉一囊粟，钱二百四十。臣朔长九尺余，亦奉一囊粟，钱二百四十。朱儒饱欲死，臣朔饥欲死。臣言可用，幸异其礼；不可用，罢之，无令但索长安米。上大笑，因使待诏金马门，稍得亲近。”颜师古往：“朱儒，短人也。”朱儒，后又作侏儒。,人物部#器用部#人事部
鱼服困,《说苑·正谏》：“吴王欲从民饮酒，伍子胥谏曰：不可，昔白龙下清冷之渊化为鱼，渔者豫且射中其目，白龙上诉天帝，天帝曰：“当是之时，若安置而形？”白龙对曰：“我下清冷之渊化为鱼。”天帝曰：“鱼固人之所射也，若是，豫且何罪？”夫白龙，天帝贵畜也；豫且，宋国残臣也。白龙不化，豫且不射，今弃万乘之位，而从布衣之士饮酒，臣恐其有豫且之患矣。王乃止。”,动物部#器用部#人事部
鱼祸,《太平广记》卷四六六引汉应劭《风俗通》（佚文）：“城门失火，殃及池鱼。旧说：池中鱼，人姓字也，居宋城门，城门失火，延及其家，仲鱼烧死。又云：宋城门失火，人汲取池中水，以沃灌之，池中空竭，鱼悉露死。喻恶之滋，并伤良谨也。”,动物部#人事部
屈平沉湘,《史记·屈原贾生列传》：“楚顷襄王立，屈原遭谗毁，谪于江南，于是怀石遂自投汨罗（湘江支流）以死。”,地理部#人物部#人事部
偷金柱,《史记·万石张叔列传》附《直不疑传》：“塞侯直不疑者，南阳人也。为郎，事文帝。其同舍有告归，误持同舍郎金去，已而金主觉，妄疑不疑，不疑谢有之，买金偿。而告归者来而归金，而前郎亡金者大惭，以此称为长者。文帝称举，稍迁至太中大夫。”,人物部#器用部#人事部
梁狱,《史记·鲁仲连邹阳列传》：“邹阳者，齐人也。游于梁，与故吴人庄忌夫子、淮阴枚生之徒交。上书而介于羊胜、公孙诡之间。胜等嫉邹阳，恶之梁孝王。孝王怒，下之吏。将欲杀之。邹阳客游，以谗见禽，恐死而负累，乃从狱中上书……书奏梁孝王，孝王使人出之，卒为上客。”,器用部#人事部
谗言三及,《战国策·秦策》：“昔者，曾子处费，费人有与曾子同名族者而杀人，人告曾子母曰：曾参杀人。曾子之母曰：吾子不杀人。织自若。有顷焉，人又曰：曾参杀人。其母尚织自若也。顷之，一人又告之曰：曾参杀人。其母惧，投杼逾墙而走。夫以曾参之贤与母之信也，而三人疑之，则慈母不能信也。”,伦类部#人事部
寒灰复燃,《史记·韩长孺列传》：韩安国事梁孝王为中大夫。“后坐法抵罪，蒙狱吏田甲辱安国。安国曰：死灰独不复然（燃）乎？”田甲曰：然即溺之。居无何，梁内史缺，汉使使者拜安国为梁内史，起徒中为二千石。田甲亡走。”,地理部#人事部
觳觫钟衅,《孟子·梁惠王上》：“（齐宣）王坐于堂上，有牵牛而过堂下者。王见之，曰：牛何之？对曰：将以衅钟。王曰：舍之。吾不忍其觳觫（恐惧颤抖貌），若无罪而就死地。对曰：然则废衅钟与？曰：何可废也，以羊易之。”,动物部#人事部
薏苡谗,《后汉书·马援传》：“初，（马）援在交趾，常饵薏苡实，用能轻身省欲，以胜瘴气。南方薏苡实大，援欲以为种，军还，载之一车。时人以为南土珍怪，权贵皆望之。援时方有宠，故莫以闻。及卒后，有上书谮之者，以为前所载还，皆明珠文犀。”,器用部#人事部
三字狱,《宋史·岳飞传》：岳飞被秦桧等诬陷下狱，“韩世忠不平，诣（秦）桧诘其实。桧曰：飞子（岳）云与张宪书虽不明，其事体莫须有。世忠曰：莫须有二字，何以服天下？”,人事部
白马清流,《旧五代史·梁书·李振传》：“天祐中，唐宰相柳璨希太祖旨，谮杀大臣裴枢、陆扆等七人于滑州白马驿。时（李）振自以咸通、乾符中尝应进士举，累上不第，尤愤愤，乃谓太祖曰：此辈自谓清流，宜投于黄河，永为浊流。”,地理部#人事部
掩鼻计,《战国策·楚策四》：“魏王遗楚王美人，楚王说之。夫人郑袖知王之说新人也，甚爱新人。衣服玩好，择其所喜而为之；宫室卧具，择其所善而为之。爱之甚於王。王曰：妇人所以事夫者，色也；而妒者，其情也。今郑袖知寡说之人新人也，其爱之甚于寡人，此孝子之所以事亲，忠臣之所以事君也。郑袖知王以己为不妒也，因谓新人曰：王爱子美矣。虽然，恶子之鼻。子为见王，则必掩子鼻。新人见王，因掩其鼻。王谓郑袖曰：夫新人见寡人，则掩其鼻，何也？郑袖曰：妾知也。王曰：虽恶必言之。郑袖曰：其似恶闻君王之臭也。王曰：悍哉！令劓之，无使逆命。”,人体部#人物部#人事部
焚阬,《史记·秦始皇本纪》：“丞相（李）斯昧死言：……臣请史官非秦记皆烧之。非博士官所职，天下敢有藏《诗》、《书》、百家语者，悉诣守、尉杂烧之。有敢偶语《诗》《书》者弃市。以古非今者族。吏见知不举者与同罪。令下三十日不烧，黥为城旦。所不去者，医药卜筮种树之书。若欲有学法令，以吏为师。制曰：可。”又：侯生、卢生不愿为始皇求仙药，“于是乃亡去。始皇闻亡，乃大怒曰：……卢生等吾尊赐之甚厚，今乃诽谤我，以重吾不德也。诸生在咸阳者，吾使人廉问，或为訞言以乱黔首。”于是使御史悉案问诸生，诸生传相告引，乃自除犯禁者四百六十余人，皆阬（同坑）之咸阳。”,文明部#地理部#人事部
班女怨,汉班婕妤《怨歌行》并序：“昔汉成帝班婕妤失宠，供养于长信宫，乃作赋自伤，并为怨诗一首：新制齐纨素，鲜洁如霜雪，裁成合欢扇，团圆似明月。出人君怀袖，动摇微风发，常恐秋节至，凉风夺炎热，弃捐筐箧笥中，恩情中道绝。”,文明部#人物部#器用部#人事部
博浪飞椎,《史记·留侯世家》：张良求客刺秦王，为韩报仇，“得力士，为铁椎重百二十斤。秦皇帝东游，良与客狙击秦皇帝博浪沙中，误中副车。秦皇帝大怒，大索天下，求贼甚急，为张良故也。良乃更名姓，亡匿下邳。”,地理部#武备部#人事部
禽填海,《山海经·北山经》：“发鸠之山，其上多柘木。有鸟焉，其状如乌，文首、白喙，赤足，名曰精卫，其鸣自詨。是炎帝之少女，名曰女娃。女娃游于东海，溺而不返，故为精卫。常衔西山之木石，以堙于东海。”,动物部#地理部#人事部
鞭尸,《史记·伍子胥列传》：伍子胥之父兄为楚平王所害，他立誓要报仇，逃到吴国，帮助吴王阖庐攻破楚国的郢都。时楚平王已死，伍子胥“乃掘楚平王墓，出其尸，鞭之三百，然后已。”,人物部#人事部
长平苦,《史记·赵世家》：“廉颇免而赵括代将。秦人围赵括，赵括以军降，卒四十余万皆阬之。王悔不听赵豹之计，故有长平之祸焉。”,地理部#人事部#武备部
封侯万里,《东现汉记·班超传》：“超行诣相者。曰：祭酒，布衣诸生尔，而当封侯万里之外。超问其状，相者曰：生燕颔虎头，飞而食肉，此万里侯相也。”后果立功异域，封为定远侯。,人事部#人物部#人体部
腰印如斗,晋郭澄之《郭子》：“将军王敦起事，丞相（王）导（敦之堂弟）率诸兄弟诣鹏请罪；值周侯（额）将人见，诸王甚有忧色。丞相呼周侯曰：伯仁（周颖字），以百口赖卿。周侯直过不应。苦相申救，既许，周大悦，饮酒。及出，诸王犹在门，又呼额，额不与言，顾左右曰：今年杀诸贼奴，当取一金印如斗大系肘。”,人事部#器用部#人体部
题柱,《太平御览》卷七三引晋常璩《华阳国志》：“升仙桥在成都县北十里，即司马相如题桥柱，曰：不乘驷马高车，不过此桥。”,人事部
七叶贵,《汉书·金日（左石右单）传赞》：“金日禅夷狄亡国，羁虏汉庭，而以笃敬寤主，忠信自著，勒功上将，传国后嗣，世名忠孝，七世内侍，何其盛也！”又据汉制：侍中之冠，珥貂为饰。,器用部#人事部
邓通富,《史记·佞幸列传》：“邓通无他能，不能有所荐士，独自谨其身以媚上而已。上使善相者相通，曰：当贫饿死。文帝曰：能富通者在我也，何谓贫乎？于是赐邓通蜀严道铜山，得自铸钱，邓氏钱布天下。其富如此。”,器用部#人事部
有佩刀,《晋书·王祥传》：“初，吕虔有佩刀，工相之，以为必登三公，可服此刀。虔谓（王）祥曰：苟非其人，刀或为害。卿有公辅之量，故以相与。详固辞，强之乃受。祥临薨，以刀授（王）览，曰：汝后必兴，足称此刀。览后奕世多贤才，兴于江丘矣。”,人事部#武备部
